1,2-2-21,10:23,ΥΑ3456,13
2,2-2-21,10:55,ΥΒ3452,34
3,2-2-21,11:00,ΥΕ7657,67
4,2-2-21,11:05,ΥΖ7567,14
5,2-2-21,12:30,ΥΗ6555,9
6,2-2-21,12:35,ΖΖ6346,13
7,2-2-21,13:00,ΖΗ6456,36
8,2-2-21,13:06,ΖΚ6433,24
9,2-2-21,13:40,ΖΜ7534,68
10,2-2-21,14:05,ΖΕ6533,7
11,2-2-21,14:55,ΖΙ6455,143
12,2-2-21,15:01,ΖΟ5432,12
13,2-2-21,15:15,ΙΒ2223,35
14,2-2-21,15:20,ΙΕ6775,12
15,2-2-21,15:32,ΙΖ4577,111
16,2-2-21,15:46,ΙΗ3322,234
17,2-2-21,15:59,ΙΚ6677,70
18,2-2-21,16:14,ΙΜ5433,12
19,2-2-21,16:30,ΙΟ3466,14
20,2-2-21,16:40,ΙΡ2235,134
21,2-2-21,16:55,ΙΤ4457,134
22,2-2-21,17:20,ΙΥ4453,12
23,2-2-21,17:25,ΧΕ5335,12
24,2-2-21,17:37,ΧΖ4224,111
25,2-2-21,17:50,ΧΗ2424,124
26,2-2-21,18:20,ΧΡ5578,123
27,2-2-21,18:40,ΧΤ9999,5
28,2-2-21,18:50,ΧΥ6653,13
29,2-2-21,19:33,ΧΧ6969,6
30,2-2-21,19:44,ΗΒ3463,23
31,2-2-21,19:57,ΟΑ3346,6
